Idea,Format,Slides,Hook,Status,Platform,Priority,Notes
"Stop using Notion. Your AI agents can't even read it.",Hot Take,5,"The Contrarian",Script Ready,TikTok,Critical,Contrarian angle — Notion has no local file access for agents
"I replaced 5 tools with one markdown folder",Product Demo,8,"The Reveal",Published,Instagram,Critical,Before/after workflow — show the actual Cabinet UI
"What if your docs could run code?",Educational,7,"The Question",Filming,TikTok,High,Show embedded HTML apps inside the KB
"0 databases. 0 cloud lock-in. 100% yours.",Comparison,6,"The Numbers",Script Ready,LinkedIn,High,Privacy/ownership angle for technical founders
"5 things I automated with AI agents this week",Listicle,8,"The List",Idea,Instagram,High,Show real agent sessions — morning briefing + competitor scan + content writing
"Your knowledge base should have a terminal",Product Demo,6,"The Contrarian",Idea,TikTok,Medium,Show web terminal running Claude Code inside Cabinet
"Notion vs Obsidian vs Cabinet — honest comparison",Comparison,10,"The Before/After",Editing,Instagram,Critical,Use competitors.csv data — fair but highlight Cabinet wins
"How I run my entire startup from files on disk",Storytime,7,"The Reveal",Published,LinkedIn,Critical,Founder story — credibility builder — show the whole data/ directory
"Every knowledge tool is becoming an agent platform. Most still don't own your files.",Comparison,8,"The Secret",Idea,LinkedIn,Critical,"Cross-vendor pattern post: Notion Agent, Atlassian Rovo, GitBook Agent, Tettra AI, Slite Ask; strong founder POV"
"GitBook made published docs MCP-native. Cabinet can make your whole startup agent-readable.",Comparison,7,"The Reveal",Idea,LinkedIn,Critical,"Use GitBook MCP as contrast: docs-only vs whole company folder; strong share/save potential"
"AI pricing is moving from seats to credits. Here's where the trap starts.",Hot Take,6,"The Numbers",Idea,LinkedIn,Critical,"Compare Notion custom-agent credits, Rovo credits, and GitBook answer caps; numbers-led slide 1"
"Vibe coding breaks when your agent can't read the rest of your company.",Educational,6,"The Contrarian",Idea,TikTok,Critical,"Fast swipe story: code is easy, context is hard; bridge to local files, docs, tasks, and memory"
"Slack is quietly becoming the default UI for workplace AI.",Educational,8,"The Secret",Idea,Instagram,High,"Save-worthy ecosystem map: Tettra AI bot, Slite Ask in Slack, Notion-triggered agents"
"7 features every AI-ready knowledge base ships in 2026.",Listicle,8,"The List",Idea,Instagram,Critical,"Checklist carousel: MCP, agents, Slack answers, verification, citations, credits, audit logs"
"MCP server vs README vs wiki: what an AI coding agent actually needs.",Comparison,9,"The Before/After",Idea,Instagram,High,"Educational comparison works well because each slide answers one decision question"
"The boring feature winning AI teams: verification.",Educational,6,"The Secret",Idea,LinkedIn,High,"Tie Slite/Tettra verification and Notion verified pages to trust, citations, and review workflows"
"Custom agents are getting commoditized. Context is the moat now.",Educational,7,"The Reveal",Idea,LinkedIn,High,"Notion custom agents + Rovo Studio make a strong 'new game board' narrative for founders"
"Notion sells an AI workspace. GitBook sells AI docs. Cabinet should sell the AI startup folder.",Comparison,6,"The Contrarian",Idea,TikTok,High,"Punchy positioning teardown for short-form carousels with bold slide text"
